release_date,genre_ids,id,title,popularity,vote_count,vote_average
6/28/2002,16,17710,Hey Arnold! The Movie,1.25735,44,5.6
3/22/2000,35,9883,Otto - The Disaster Movie,1.148564,12,4.5
10/25/2002,10749,18225,The Dog Trick,1.129902,6,4.8
9/15/2005,35,63843,The Cabin Movie,1.244054,1,0
2/24/2017,99,444904,Robin Schulz - The Movie,1.135225,0,0
7/24/2016,35,371738,Looking: The Movie,1.23623,50,7
1/29/2016,,265312,El Americano: The Movie,1.227109,2,1
5/30/2009,18,75428,Rookies the Movie: Graduation,1.143124,2,2.5
4/17/1993,28,187977,Gosei Sentai Dairanger: The Movie,1.142514,3,3
7/18/1980,28,13612,Cheech & Chong's Next Movie,1.553939,50,6.2
5/19/2009,35,21283,Steppin: The Movie,1.216226,3,4.3
3/10/2012,35,95754,Big Time Movie,1.215551,15,6.8
12/20/2013,35,228558,The Harry Hill Movie,1.212065,9,4
12/20/2002,16,14317,The Wild Thornberrys Movie,1.207741,34,5.8
4/28/2006,35,12795,Another Gay Movie,1.205973,39,5.3
10/6/1995,28,18837,Macross Plus: Movie Edition,1.199455,26,7.2
1/27/2004,28,25757,Comic Book: The Movie,1.199035,2,6
12/6/2014,28,317442,The Last: Naruto the Movie,1.520413,111,7.4
8/6/1994,16,12613,Street Fighter II: The Animated Movie,1.196784,23,6.4
7/18/2006,16,34728,Queer Duck: The Movie,1.195493,4,4.8
1/22/1984,12,61968,Airwolf: The Movie,1.188266,20,5.3
3/17/2000,14,20455,Digimon: The Movie,1.184305,46,6
2/6/2017,99,443051,The MovieLand Movie,1.068515,0,0
7/25/2014,35,256273,The Fluffy Movie,1.177982,36,6.8
11/19/2013,28,244781,Moto 5: The Movie,1.176871,0,0
1/27/2017,10749,438657,Mischievous Kiss The Movie: Campus,1.100159,0,0
8/8/2012,28,110112,Nitro Circus: The Movie,1.172611,35,6.4
2/18/2017,28,413594,Sword Art Online The Movie: Ordinal Scale,1.638388,6,7.8
1/10/1999,16,64202,Batman Beyond: The Movie,1.170537,30,7.3
3/23/1985,12,11243,The Care Bears Movie,1.167844,22,5.3
10/27/2017,878,384521,Untitled Cloverfield Movie,1.166729,1,0
6/17/1977,878,433586,J.A.K.Q. Dengekitai: The Movie,1.07085,0,0
3/1/2001,28,244850,Gerak Khas The Movie,1.163096,0,0
7/11/2009,35,78013,Gokusen The Movie,1.084511,0,0
1/1/2009,99,40819,Best Worst Movie,1.158335,40,7.4
8/29/2008,,278848,Wubbzy's Big Movie!,1.013128,0,0
9/29/1971,18,49600,The Last Movie,1.153675,4,6.5
6/24/2015,27,347167,E.N.D. - The Movie,1.007785,1,10
7/16/1987,35,9252,Otto - The New Movie,1.058297,8,4.3
6/7/2008,53,333544,Escape Captivity:  The Movie,1.058297,1,6
11/7/1985,28,86200,Grunt! The Wrestling Movie,1.15,1,7
5/3/2017,28,433124,Last Cop The Movie,1.149041,0,0
10/7/2003,16,48379,Caillou's Holiday Movie,1.004039,0,0
8/13/2004,12,11052,Yu-Gi-Oh! The Movie,1.478154,55,5.3
3/1/2012,,322774,"4'33"" The Movie",1.00143,0,0
3/10/1939,,236281,Porky's Movie Mystery,1.000471,0,0
,,414729,X-Girl Movie,1.000416,0,0
10/2/2007,16,42078,Elf Bowling the Movie,1.142794,0,0
12/3/1916,,149981,Luke's Movie Muddle,1.000315,2,3.5
11/22/2014,35,303623,Hello Ladies: The Movie,1.142433,47,6.4
1/1/1988,35,87698,Bar-B-Que Movie,1.000033,0,0
1/1/1970,,203613,Christopher's Movie Matinee,1.000001,0,0
,,344481,Jeff''s Movie,1,0,0
4/1/2016,35,388374,Rescue Dogs The Movie,1.139275,2,4
